SEXO	ESTADO CIVIL	NASCIMENTO	LINGUA	CURSO QUE DESEJA	CIDADE	BAIRRO	ESCOLA DE ORIGEM
Feminino	Solteiro(a)	05/09/1994	Espanhol	Enfermagem	Campina Grande	Palmeira	Estadual da Palmeira
Feminino	Solteiro(a)	29/01/1998	Espanhol	Enfermagem	Campina Grande	Catingueira	Estadual da Prata
Masculino	Solteiro(a)	14/05/1996	Espanhol	Não definido	Campina Grande	Bodocongó	Estadual de Bodocongó
Masculino	Solteiro(a)	16/09/1991	Espanhol	Direito	Campina Grande	Malvinas	Virgínio da Gama e Melo
Masculino	Solteiro(a)	02/09/1991	Inglês	Educação Física	Campina Grande	Monte Santo	Estadual da Prata
Feminino	Solteiro(a)	06/07/1999	Espanhol	Direito	Campina Grande	Bodocongó	Estadual de Bodocongó
Masculino	Solteiro(a)	27/08/1995	Espanhol	Direito	Campina Grande	Bodocongó	Estadual de Bodocongó
Feminino	Casado(a)	13/03/1966	Espanhol	Medicina	Campina Grande	José Pinheiro	EEEFM Nenzinha Cunha Lima
Feminino	Solteiro(a)	12/05/2001	Espanhol	Fisioterapia	Mogeiro	Centro - Mogeiro	EEEM Otávia Silveira
Masculino	Solteiro(a)	20/12/2001	Inglês	Área de Humanas	Campina Grande	Chico Mendes	Estadual da Prata
Feminino	Solteiro(a)	22/06/2000	Espanhol	Medicina	Campina Grande	Ramadinha	EEEFM Severino Cabral
Masculino	Solteiro(a)	28/11/1999	Inglês	Agronomia	Campina Grande	Bela Vista	EEEFM Monte Carmelo
Masculino	Solteiro(a)	06/02/2002	Inglês	Medicina	Mogeiro	Centro - Mogeiro	EEEM Otávia Silveira
Masculino	Solteiro(a)	14/11/1990	Inglês	Não definido	Campina Grande	Bodocongó	Estadual de Bodocongó
Feminino	Solteiro(a)	25/10/1996	Inglês	Administração	Campina Grande	Prata	Estadual da Prata
Feminino	Solteiro(a)	17/11/1995	Espanhol	Administração	Campina Grande	Malvinas	Virgínio da Gama e Melo
Feminino	Solteiro(a)	13/02/1996	Inglês	Psicologia	Campina Grande	Cruzeiro	EEEFM Raul Córdula
Feminino	Solteiro(a)	16/10/1998	Inglês	Educação Física	Campina Grande	São José da Mata	EEEFM José Miguel Leão
Feminino	Solteiro(a)	31/05/1963	Espanhol	Não definido	Campina Grande	Liberdade	EEEFM Félix Araújo
Feminino	Solteiro(a)	27/02/1996	Espanhol	Fisioterapia	Campina Grande	São José 	Estadual da Prata
Masculino	Solteiro(a)	06/01/2001	Inglês	Arquitetura	Boqueirão	Centro - Boqueirão	José Braz do Rêgo
Masculino	Solteiro(a)	26/11/1997	Inglês	Direito	Campina Grande	Catolé	Escola Normal
Feminino	Solteiro(a)	27/02/1999	Inglês	Psicologia	Boqueirão	Centro - Boqueirão	José Braz do Rêgo
Feminino	Casado(a)	02/06/1961	Espanhol	Área de Exatas	Campina Grande	Liberdade	EEEFM Félix Araújo
Masculino	Solteiro(a)	28/08/1998	Inglês	Arquitetura	Queimadas	Correia Lima II - Queimadas	Estadual Francisco Ernesto do Rêgo
Masculino	Solteiro(a)	01/08/1999	Inglês	Odontologia	Queimadas	LIgeiro - Queimadas	Estadual Francisco Ernesto do Rêgo
Feminino	Solteiro(a)	16/05/2000	Inglês	Medicina	Queimadas	LIgeiro - Queimadas	Estadual Francisco Ernesto do Rêgo
Feminino	Solteiro(a)	09/12/1979	Espanhol	Área de Saúde	Campina Grande	Ramadinha	EEEFM Severino Cabral
Masculino	Solteiro(a)	10/02/1999	Inglês	Medicina	Areial	Centro - Areial	Estadual Francisco Apolinário
Masculino	Solteiro(a)	01/11/2000	Inglês	Direito	Areial	Centro - Areial	Estadual Francisco Apolinário
Feminino	Solteiro(a)	14/06/1991	Espanhol	Psicologia	Lagoa de Roça	Bela Vista - Lagoa de Roça	Estadual Monsenhor José Borges
Feminino	Solteiro(a)	15/09/2000	Espanhol	Fisioterapia	Lagoa de Roça	Bela Vista - Lagoa de Roça	Estadual Monsenhor José Borges
